"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","CTA|EE","Biomass","51.80"
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","CTA|EE","Biomass","52.60"
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","CTA|EE","Biomass","54.70"
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","CTA|EE","Biomass","55.00"
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","CTA|EE","Biomass","55.40"
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","CTA|EE","Biomass","55.30"
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","CTA|EE","Biomass","55.70"
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","CTA|EE","Biomass","55.30"
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","CTA|EE","Biomass","55.40"
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","CTA|EE","Biomass","56.00"
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","CTA|EE","Biomass","56.20"
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","CTA|EE","Biomass","56.40"
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","CTA|EE","Biomass","58.50"
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","CTA|EE","Biomass","58.70"
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","CTA|EE","Biomass","57.40"
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","CTA|EE","Biomass","57.90"
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","CTA|EE","Biomass","57.90"
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","CTA|EE","Biomass","58.10"
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","CTA|EE","Biomass","57.70"
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","CTA|EE","Biomass","57.50"
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","CTA|EE","Biomass","57.20"
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","CTA|EE","Biomass","57.10"
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","CTA|EE","Biomass","55.80"
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","CTA|EE","Biomass","56.30"
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","CTA|EE","Biomass","54.90"
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","CTA|EE","Biomass","57.10"
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","CTA|EE","Biomass","57.30"
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","CTA|EE","Biomass","57.40"
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","CTA|EE","Biomass","56.90"
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","CTA|EE","Biomass","56.70"
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","CTA|EE","Biomass","56.30"
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","CTA|EE","Biomass","57.40"
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","CTA|EE","Biomass","57.50"
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","CTA|EE","Biomass","57.90"
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","CTA|EE","Biomass","57.80"
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","CTA|EE","Biomass","57.10"
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","CTA|EE","Biomass","59.20"
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","CTA|EE","Biomass","60.00"
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","CTA|EE","Biomass","60.30"
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","CTA|EE","Biomass","60.40"
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","CTA|EE","Biomass","60.50"
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","CTA|EE","Biomass","58.00"
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","CTA|EE","Biomass","56.90"
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","CTA|EE","Biomass","56.60"
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","CTA|EE","Biomass","56.60"
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","CTA|EE","Biomass","56.90"
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","CTA|EE","Biomass","55.40"
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","CTA|EE","Biomass","56.10"
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","CTA|EE","Biomass","52.90"
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","CTA|EE","Biomass","54.50"
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","CTA|EE","Biomass","56.10"
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","CTA|EE","Biomass","56.30"
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","CTA|EE","Biomass","56.40"
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","CTA|EE","Biomass","58.30"
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","CTA|EE","Biomass","59.10"
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","CTA|EE","Biomass","58.80"
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","CTA|EE","Biomass","59.00"
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","CTA|EE","Biomass","59.40"
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","CTA|EE","Biomass","59.70"
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","CTA|EE","Biomass","59.60"
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","CTA|EE","Biomass","62.30"
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","CTA|EE","Biomass","62.80"
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","CTA|EE","Biomass","62.80"
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","CTA|EE","Biomass","63.80"
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","CTA|EE","Biomass","63.80"
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","CTA|EE","Biomass","62.90"
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","CTA|EE","Biomass","61.30"
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","CTA|EE","Biomass","61.90"
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","CTA|EE","Biomass","61.50"
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","CTA|EE","Biomass","61.00"
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","CTA|EE","Biomass","59.50"
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","CTA|EE","Biomass","59.20"
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","CTA|EE","Biomass","56.60"
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","CTA|EE","Biomass","57.90"
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","CTA|EE","Biomass","56.60"
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","CTA|EE","Biomass","56.10"
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","CTA|EE","Biomass","56.60"
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","CTA|EE","Biomass","56.30"
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","CTA|EE","Biomass","56.00"
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","CTA|EE","Biomass","55.90"
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","CTA|EE","Biomass","56.00"
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","CTA|EE","Biomass","56.50"
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","CTA|EE","Biomass","57.00"
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","CTA|EE","Biomass","57.40"
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","CTA|EE","Biomass","60.40"
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","CTA|EE","Biomass","60.70"
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","CTA|EE","Biomass","60.30"
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","CTA|EE","Biomass","61.50"
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","CTA|EE","Biomass","60.70"
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","CTA|EE","Biomass","58.80"
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","CTA|EE","Biomass","57.30"
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","CTA|EE","Biomass","57.50"
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","CTA|EE","Biomass","57.20"
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","CTA|EE","Biomass","56.80"
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","CTA|EE","Biomass","55.10"
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","CTA|EE","Biomass","55.50"
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","CTA|EE","Biomass","53.30"
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","CTA|EE","Biomass","54.20"
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","CTA|EE","Biomass","53.90"
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","CTA|EE","Biomass","54.90"
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","CTA|EE","Biomass","54.30"
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","CTA|EE","Biomass","54.40"
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","CTA|EE","Biomass","54.20"
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","CTA|EE","Biomass","53.00"
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","CTA|EE","Biomass","53.90"
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","CTA|EE","Biomass","54.80"
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","CTA|EE","Biomass","55.00"
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","CTA|EE","Biomass","55.00"
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","CTA|EE","Biomass","58.30"
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","CTA|EE","Biomass","58.60"
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","CTA|EE","Biomass","58.00"
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","CTA|EE","Biomass","58.70"
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","CTA|EE","Biomass","57.70"
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","CTA|EE","Biomass","57.20"
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","CTA|EE","Biomass","56.60"
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","CTA|EE","Biomass","57.20"
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","CTA|EE","Biomass","56.40"
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","CTA|EE","Biomass","55.30"
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","CTA|EE","Biomass","54.00"
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","CTA|EE","Biomass","54.40"
"12/01/2022 03:00:00 - 12/01/2022 04:00:00","CTA|EE","Biomass","52.90"
"12/01/2022 04:00:00 - 12/01/2022 05:00:00","CTA|EE","Biomass","54.60"
"12/01/2022 05:00:00 - 12/01/2022 06:00:00","CTA|EE","Biomass","54.50"
"12/01/2022 06:00:00 - 12/01/2022 07:00:00","CTA|EE","Biomass","54.30"
"12/01/2022 07:00:00 - 12/01/2022 08:00:00","CTA|EE","Biomass","54.40"
"12/01/2022 08:00:00 - 12/01/2022 09:00:00","CTA|EE","Biomass","54.10"
"12/01/2022 09:00:00 - 12/01/2022 10:00:00","CTA|EE","Biomass","54.60"
"12/01/2022 10:00:00 - 12/01/2022 11:00:00","CTA|EE","Biomass","55.00"
"12/01/2022 11:00:00 - 12/01/2022 12:00:00","CTA|EE","Biomass","54.90"
"12/01/2022 12:00:00 - 12/01/2022 13:00:00","CTA|EE","Biomass","55.50"
"12/01/2022 13:00:00 - 12/01/2022 14:00:00","CTA|EE","Biomass","56.00"
"12/01/2022 14:00:00 - 12/01/2022 15:00:00","CTA|EE","Biomass","56.20"
"12/01/2022 15:00:00 - 12/01/2022 16:00:00","CTA|EE","Biomass","59.00"
"12/01/2022 16:00:00 - 12/01/2022 17:00:00","CTA|EE","Biomass","59.80"
"12/01/2022 17:00:00 - 12/01/2022 18:00:00","CTA|EE","Biomass","59.60"
"12/01/2022 18:00:00 - 12/01/2022 19:00:00","CTA|EE","Biomass","60.90"
"12/01/2022 19:00:00 - 12/01/2022 20:00:00","CTA|EE","Biomass","61.30"
"12/01/2022 20:00:00 - 12/01/2022 21:00:00","CTA|EE","Biomass","60.00"
"12/01/2022 21:00:00 - 12/01/2022 22:00:00","CTA|EE","Biomass","59.10"
"12/01/2022 22:00:00 - 12/01/2022 23:00:00","CTA|EE","Biomass","57.80"
"12/01/2022 23:00:00 - 13/01/2022 00:00:00","CTA|EE","Biomass","56.20"
"13/01/2022 00:00:00 - 13/01/2022 01:00:00","CTA|EE","Biomass","58.90"
"13/01/2022 01:00:00 - 13/01/2022 02:00:00","CTA|EE","Biomass","55.00"
"13/01/2022 02:00:00 - 13/01/2022 03:00:00","CTA|EE","Biomass","54.30"
"13/01/2022 03:00:00 - 13/01/2022 04:00:00","CTA|EE","Biomass","51.10"
"13/01/2022 04:00:00 - 13/01/2022 05:00:00","CTA|EE","Biomass","52.40"
"13/01/2022 05:00:00 - 13/01/2022 06:00:00","CTA|EE","Biomass","54.50"
"13/01/2022 06:00:00 - 13/01/2022 07:00:00","CTA|EE","Biomass","55.20"
"13/01/2022 07:00:00 - 13/01/2022 08:00:00","CTA|EE","Biomass","55.00"
"13/01/2022 08:00:00 - 13/01/2022 09:00:00","CTA|EE","Biomass","54.10"
"13/01/2022 09:00:00 - 13/01/2022 10:00:00","CTA|EE","Biomass","53.80"
"13/01/2022 10:00:00 - 13/01/2022 11:00:00","CTA|EE","Biomass","53.70"
"13/01/2022 11:00:00 - 13/01/2022 12:00:00","CTA|EE","Biomass","53.80"
"13/01/2022 12:00:00 - 13/01/2022 13:00:00","CTA|EE","Biomass","54.70"
