timestamp,demand_actual,demand_p5,demand_p50,demand_p95,demand_mean
2026-01-11 11:00:00,1217.2625,1046.9579304896722,1230.0358644858047,1402.806581790023,1228.760380967773
2026-01-11 12:00:00,1226.925,1038.8406880097066,1215.2056509719364,1392.1379048171746,1215.0349063534463
2026-01-11 13:00:00,1226.9475,1042.9223906056463,1216.5457441603262,1396.798265794308,1217.8120691098447
2026-01-11 14:00:00,1249.76,1063.5191685840866,1232.0803362131173,1414.5216263812963,1231.9697964615666
2026-01-11 15:00:00,1208.9275,1075.4728096239267,1254.558031062036,1415.141037585929,1252.8305218908674
2026-01-11 16:00:00,1275.675,1063.4690522058402,1235.1494846895841,1395.5450977016242,1234.5927495827018
2026-01-11 17:00:00,1256.345,1018.5764168113795,1203.95742419013,1379.4595514070404,1203.4015182057963
2026-01-11 18:00:00,1235.75,1006.8052304285615,1161.9650508476298,1332.4901299948233,1166.3891273863946
2026-01-11 19:00:00,1093.5875,950.2312236779464,1114.5104637153238,1282.9194061299609,1117.083339583951
2026-01-11 20:00:00,1155.32,880.1158673150494,1046.4087045223184,1215.9559199069092,1047.735218784015
2026-01-11 21:00:00,1081.475,803.9522178559891,979.0721140011009,1141.3061998558194,973.8326192845673
2026-01-11 22:00:00,1054.2125,756.0822144626712,927.1661943755932,1103.1709676442144,927.567498239602
2026-01-11 23:00:00,1113.105,728.1714944107865,902.4904888119029,1078.6779784688815,900.9302641770098
2026-01-12 00:00:00,1127.1399999999999,791.8738603650496,940.166638957405,1086.8172179636872,941.9860434709266
2026-01-12 01:00:00,1104.1399999999999,789.5405674566124,930.4016222043886,1095.3710347867334,934.8610310037762
2026-01-12 02:00:00,1113.8575,794.3283217223969,941.5149242474267,1090.6462180392991,940.5997176327754
2026-01-12 03:00:00,1090.0075,826.1272346984063,971.2410082911963,1119.7382137182392,971.1392869433809
2026-01-12 04:00:00,1190.63,918.67540266376,1063.2826407299037,1217.2456409196197,1064.9239526278857
2026-01-12 05:00:00,1276.8925,1018.4802228456216,1171.0485840860374,1319.973641444216,1170.7691654953849
2026-01-12 06:00:00,1364.53,1101.867840278509,1258.1177263381005,1407.6744106201718,1256.8208974518466
2026-01-12 07:00:00,1388.855,1137.1578469395017,1290.0819045122682,1445.9878067902882,1290.0280273723154
2026-01-12 08:00:00,1404.4724999999999,1151.7338543559415,1299.1957027060425,1449.0888994934267,1301.5172981236592
2026-01-12 09:00:00,1392.5225,1136.887433874365,1288.8129681807459,1451.1514267552614,1290.2725740579683
2026-01-12 10:00:00,1401.7124999999999,1124.0697695787835,1281.0231315923947,1429.6061143937902,1278.8388122578606
2026-01-12 11:00:00,1401.1125,1135.1822076768713,1287.7031070589069,1443.5144637819135,1288.2074746395551
2026-01-12 12:00:00,1380.31,1127.4530914842753,1274.5626987475202,1423.3282275104955,1274.44404656851
2026-01-12 13:00:00,1342.3575,1121.975194890311,1276.051367601312,1423.65487495529,1276.205292935539
2026-01-12 14:00:00,1339.0925,1146.3967218227817,1296.0865321067868,1450.7830964614927,1296.7110232731159
2026-01-12 15:00:00,1320.3725,1169.149122755996,1322.3468733167138,1474.6428334494117,1320.016377714785
2026-01-12 16:00:00,1335.6,1156.364943879109,1299.5028057816244,1459.3623313994776,1301.059695474171
2026-01-12 17:00:00,1289.9325,1112.6540961908222,1268.924847896607,1425.6130173628226,1268.3316154327333
2026-01-12 18:00:00,1293.1825000000001,1083.9353659801934,1231.5502050356674,1389.045396211868,1233.3031106321007
2026-01-12 19:00:00,1218.33,1033.1398959349774,1185.495566980334,1345.1444997586616,1184.4608076955415
2026-01-12 20:00:00,1175.7199999999998,965.8143294650572,1117.1323916697058,1266.4013331398164,1118.7974125153403
2026-01-12 21:00:00,1114.2675,890.3045914688845,1048.045802952812,1196.298649615546,1045.5114871056862
2026-01-12 22:00:00,1091.5575,842.3177957046348,999.1859363287572,1157.159246681948,1001.4535701445967
2026-01-12 23:00:00,1131.0425,804.6230238946285,967.0604217924745,1130.930577454956,968.270075480825
2026-01-13 00:00:00,1147.0775,804.9558428158712,956.2274664391571,1119.3565222828834,958.5075662590111
2026-01-13 01:00:00,1150.8175,803.0888209987527,954.0117965519269,1123.0316613071925,955.968493281
2026-01-13 02:00:00,1141.4125,806.7057806961453,955.4210098970849,1128.2861821917215,959.1184267430388
2026-01-13 03:00:00,1108.2025,835.3082798593877,997.2302549226863,1154.635438995744,993.9044325997402
2026-01-13 04:00:00,1229.0900000000001,925.918795240216,1091.0309696838808,1237.5153343976542,1086.421657909689
2026-01-13 05:00:00,1313.7275,1025.5345202224626,1199.4494661411559,1370.4251971890803,1199.1349359921178
2026-01-13 06:00:00,1446.735,1107.2642634369552,1283.6043831500908,1455.8772979868397,1284.7290091051896
2026-01-13 07:00:00,1439.7,1155.6697721026787,1319.3488571247196,1493.2074109830799,1323.2836314759152
2026-01-13 08:00:00,1517.5325,1153.7559322207733,1330.6214145685212,1502.081945504569,1332.7737206602894
2026-01-13 09:00:00,1507.38,1161.803417248497,1334.4215831422846,1511.0991407318752,1335.045488295755
2026-01-13 10:00:00,1453.405,1142.7725011705238,1317.5333252916075,1494.1960908876663,1320.265546612535
2026-01-13 11:00:00,1425.1475,1155.3058927228915,1333.8128520371617,1508.3427694524055,1335.2825012306275
2026-01-13 12:00:00,1331.535,1133.3839207556218,1326.15868857218,1504.4079934259855,1327.6792015405708
2026-01-13 13:00:00,1405.3325,1148.9228998513927,1341.690267539484,1522.388646527,1339.0949382236329
2026-01-13 14:00:00,1428.0625,1165.548233302696,1361.2212473525858,1550.1731625917162,1359.7342632391174
2026-01-13 15:00:00,1434.8875,1196.0710239850212,1389.1979317811429,1587.3292872035831,1388.608245925467
2026-01-13 16:00:00,1347.1425,1167.9998785167977,1370.938635036002,1578.5661755394917,1373.152714265326
2026-01-13 17:00:00,1395.5225,1139.1706013784908,1347.4893027025985,1562.3282409490437,1347.9013536480097
2026-01-13 18:00:00,1379.0349999999999,1110.9189565894646,1317.1378397064036,1532.485842965245,1317.8061658880572
2026-01-13 19:00:00,1309.06,1045.774956877336,1269.7716441010434,1500.6849141284313,1273.52988124197
2026-01-13 20:00:00,1250.0575,979.2741549383248,1209.6333455121683,1430.948806497968,1210.8389115750679
2026-01-13 21:00:00,1156.74,916.4311133912591,1142.2009093544489,1375.9476163222216,1146.0292060704473
2026-01-13 22:00:00,1171.8675,878.1171835452274,1095.024403847358,1335.6392682436733,1099.140593929786
2026-01-13 23:00:00,1145.0275000000001,833.6433601049692,1080.2052690067576,1322.5301814236807,1073.3244916757528
2026-01-14 00:00:00,1140.78,832.9758543606791,1059.2951566935558,1304.5936692508835,1062.9939627084057
2026-01-14 01:00:00,1150.2425,824.5837863484495,1058.1609059158736,1299.5723521933762,1058.7930945333385
2026-01-14 02:00:00,1159.2175,823.8892112700305,1061.7079236936283,1302.8430762109003,1062.0844030055007
2026-01-14 03:00:00,1181.4825,843.7819121859396,1087.108268368112,1319.9567009292814,1085.366914037641
2026-01-14 04:00:00,1236.7350000000001,934.4338233224111,1183.2782736521312,1431.7286854868566,1180.7938032096185
2026-01-14 05:00:00,1368.31,1033.3817799021424,1293.5269937306743,1541.8582807092316,1292.8242136253045
2026-01-14 06:00:00,1428.1375,1129.1277999634658,1379.4563118346473,1631.904258260098,1379.4905860547697
2026-01-14 07:00:00,1455.5075,1168.9017803626944,1403.657758785505,1660.9944044857466,1407.948698582233
