"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","CTA|EE","Biomass","87.40"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","CTA|EE","Biomass","89.20"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","CTA|EE","Biomass","86.40"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","CTA|EE","Biomass","85.80"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","CTA|EE","Biomass","84.20"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","CTA|EE","Biomass","84.30"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","CTA|EE","Biomass","82.40"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","CTA|EE","Biomass","84.80"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","CTA|EE","Biomass","83.90"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","CTA|EE","Biomass","85.30"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","CTA|EE","Biomass","83.60"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","CTA|EE","Biomass","81.90"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","CTA|EE","Biomass","82.90"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","CTA|EE","Biomass","81.00"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","CTA|EE","Biomass","81.00"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","CTA|EE","Biomass","78.90"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","CTA|EE","Biomass","71.70"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","CTA|EE","Biomass","73.40"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","CTA|EE","Biomass","74.20"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","CTA|EE","Biomass","75.40"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","CTA|EE","Biomass","80.40"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","CTA|EE","Biomass","82.60"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","CTA|EE","Biomass","79.70"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","CTA|EE","Biomass","77.20"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","CTA|EE","Biomass","72.10"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","CTA|EE","Biomass","72.20"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","CTA|EE","Biomass","72.50"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","CTA|EE","Biomass","72.20"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","CTA|EE","Biomass","68.40"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","CTA|EE","Biomass","69.90"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","CTA|EE","Biomass","72.40"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","CTA|EE","Biomass","73.10"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","CTA|EE","Biomass","70.30"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","CTA|EE","Biomass","70.50"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","CTA|EE","Biomass","66.70"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","CTA|EE","Biomass","68.60"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","CTA|EE","Biomass","64.40"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","CTA|EE","Biomass","64.50"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","CTA|EE","Biomass","63.70"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","CTA|EE","Biomass","68.30"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","CTA|EE","Biomass","63.20"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","CTA|EE","Biomass","69.30"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","CTA|EE","Biomass","70.20"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","CTA|EE","Biomass","69.60"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","CTA|EE","Biomass","73.90"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","CTA|EE","Biomass","72.90"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","CTA|EE","Biomass","74.20"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","CTA|EE","Biomass","84.10"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","CTA|EE","Biomass","89.30"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","CTA|EE","Biomass","92.50"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","CTA|EE","Biomass","88.50"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","CTA|EE","Biomass","85.40"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","CTA|EE","Biomass","86.00"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","CTA|EE","Biomass","84.90"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","CTA|EE","Biomass","83.70"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","CTA|EE","Biomass","84.10"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","CTA|EE","Biomass","85.40"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","CTA|EE","Biomass","86.00"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","CTA|EE","Biomass","85.80"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","CTA|EE","Biomass","83.10"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","CTA|EE","Biomass","81.90"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","CTA|EE","Biomass","81.40"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","CTA|EE","Biomass","81.50"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","CTA|EE","Biomass","82.40"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","CTA|EE","Biomass","80.50"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","CTA|EE","Biomass","87.00"
